Title,NO.Beds,Price,Rating
  Madam Yvonne's Studio in Mar Mikhael,1 king bed,"$34 per night, originally $43",4.84 (51)
Styled Apt -Ashrafieh /24hr Elec,1 bed,$41 per night,New
Anoor Studio in Gemmayze W/Balcony & 24/7 Power,1 bed,"$46 per night, originally $53",4.82 (11)
Dahlia- 1-Bedroom Apartment in Mar Mikhael,1 king bed,$53 per night,5.0 (6)
"Cozy, beautiful and comfortable studio",1 single bed,$21 per night,4.77 (93)
Bright Bedroom in Achrafieh - Room 1,1 bed,$15 per night,5.0 (4)
Achrafieh (Mini-Me) Rooftop,1 sofa bed,$24 per night,4.57 (187)
  Fouad’s 1BR Apartment in Baouchrieh,1 king bed,"$33 per night, originally $43",4.74 (47)
  Aunt Hayat's Studio and Mar Mikhael,1 single bed,"$31 per night, originally $43",4.85 (52)
24/7 Elec with Elevator - 5B 1BR Apartment- Beirut,1 bed,$57 per night,5.0 (24)
Bright Bedroom in Achrafieh - Room 3,1 bed,$14 per night,4.67 (3)
"Affordable, Comfortable and Beautiful studio.",1 double bed,$21 per night,4.76 (92)
Laeticia's 1-BR Apt in Mar Mikhael W/ 24/24 Power,1 queen bed,"$42 per night, originally $62",4.63 (65)
Studio w/ Terrace & Park. - Ashrafieh,1 queen bed,$59 per night,4.94 (104)
Garage Studio in Mar Mikhael W/ 23/24 Electricty,2 beds,$39 per night,New
Vertige - Gemmayzeh - 24/7 electricity,1 bed,"$41 per night, originally $59",5.0 (3)
Anoor 1-BR Apt in Gemmayze W/Terrace & 24/7 Power,1 king bed,$64 per night,5.0 (5)
Sirene 1-BR Apt in Gemmayze + Pool & Gym,1 king bed,"$73 per night, originally $82",5.0 (3)
